90	306.8864	50.4789	176.213	120.3486	39.6643	274.7061
91	306.971	50.5029	176.13	120.3712	39.6904	274.7269
92	306.9972	50.4873	176.0747	120.4114	39.7492	274.7456
93	306.9355	50.4716	176.0806	120.3904	39.759	274.7531
94	306.8847	50.4415	176.0989	120.4035	39.7061	274.7057
95	306.876	50.4232	176.0736	120.4754	39.6556	274.602
96	306.8905	50.4287	176.0358	120.4073	39.7034	274.5129
97	306.8712	50.4622	176.0604	120.425	39.6847	274.2626
98	306.8823	50.463	176.0743	120.4258	39.6838	274.2507
99	345.9568	44.0577	179.8519	165.7599	44.8637	180.6061
100	345.9815	44.0343	179.8298	165.7556	44.8434	180.6041
101	345.948	44.0457	179.826	165.7357	44.8243	180.6095
102	345.9188	44.0533	179.8523	165.7672	44.8143	180.5648
103	345.9316	44.0344	179.9147	165.9517	44.8705	180.3934
104	345.9203	44.0217	179.9998	165.9126	44.8824	180.3718
105	345.9224	43.9988	180.012	166.0419	44.8064	180.5005
106	345.8928	43.9845	180.0587	166.0554	44.7701	180.4938
107	345.895	43.9737	180.0512	165.9745	44.7296	180.5334
108	345.8913	43.9782	180.0545	165.7567	44.9766	180.8741
109	345.9526	43.9786	180.0421	165.8334	45.0022	181.0862
110	345.9971	43.9497	180.0511	165.8918	44.9962	181.1202
111	345.7801	44.0653	180.0896	165.9086	45.0028	181.1249
112	345.6839	44.126	180.1678	273.4972	34.0244	43.2632
113	275.2176	32.4864	221.7582	273.484	34.0277	43.2748
114	275.208	32.4954	221.7582	273.4814	34.0306	43.2721
115	275.1673	32.5333	221.7566	273.4781	34.0453	43.2456
116	275.0655	32.4719	221.8903	273.4553	34.2408	42.8244
117	275.1836	32.4383	221.8065	273.6368	34.5023	42.1776
118	275.158	32.4038	221.8236	273.6921	34.4002	41.9575
119	275.0991	32.3805	221.8582	273.4374	34.0538	42.0428
120	275.1424	32.4011	221.8367	273.4381	34.0283	42.0147
121	275.2539	32.4765	221.7953	273.6945	34.1325	41.8011
122	275.2728	32.576	221.8204	273.8856	34.2148	41.6823
123	275.2267	32.6367	221.8853	273.8795	34.4546	41.717
124	275.2181	32.6421	221.9124	273.9538	34.6044	41.6981
125	275.2626	32.6382	221.8763	273.9263	34.4167	41.641
126	275.3145	32.6251	221.8111	273.9359	34.3798	41.647
127	275.3093	32.5644	221.7852	273.937	34.3805	41.6548
128	275.2622	32.5245	221.8151	273.9258	34.391	41.6748
129	275.1836	32.5471	221.8753	273.9075	34.4035	41.7041
130	275.0826	32.6002	221.9441	273.9027	34.4053	41.7116
131	275.1051	32.6566	221.9434	256.5089	33.2066	70.0971
132	275.1498	32.6752	221.914	256.5085	33.2064	70.0951
133	275.1545	32.6689	221.9131	256.2077	33.1121	68.6983
134	275.1393	32.6441	221.9299	256.2172	33.0266	68.7157
135	275.1719	32.5874	221.906	257.0734	33.077	67.7208
136	275.3549	32.562	221.7229	256.8146	33.2114	67.9461
137	275.5638	32.5619	221.4877	256.188	33.2456	68.4402
138	275.5957	32.5853	221.3961	255.6878	33.4281	68.6389
139	275.7735	34.3563	223.1089	255.0813	33.6135	69.0129
140	275.7464	34.2756	223.0473	254.6469	33.6439	69.3823
141	58.8021	21.1299	145.0328	254.5402	33.6412	69.4949
142	58.4066	20.9946	145.4487	254.513	33.6492	69.51
143	59.144	20.7939	144.8764	246.4492	40.8146	83.8231
144	59.9113	20.7479	144.1733	246.4498	40.8385	83.8259
145	60.5252	21.096	142.955	246.3409	40.9441	83.8493
146	60.7035	21.0835	142.8853	246.3276	40.9527	83.8443
147	60.8174	21.1106	142.7679	246.214	40.9626	83.6854
148	61.277	21.3914	141.7799	246.3076	40.9251	83.5862
149	61.2896	21.3673	141.8085	246.4104	40.8937	83.5696
150	61.2691	21.1982	142.1262	246.4844	40.9139	83.6937
