epoch,dice_coef,iou,iou_thresholded,loss,val_dice_coef,val_iou,val_iou_thresholded,val_loss
0,0.1183854341506958,0.07930032908916473,0.08114705979824066,0.8816145658493042,0.03615318238735199,0.018411273136734962,7.059155905153602e-05,0.9638468027114868
1,0.10115109384059906,0.05569176748394966,0.05928251892328262,0.8988488912582397,0.03548648580908775,0.018067017197608948,7.059155905153602e-05,0.9645135998725891
2,0.0729353204369545,0.0381004624068737,0.038777515292167664,0.9270645976066589,0.031129464507102966,0.015814218670129776,7.059155905153602e-05,0.9688705205917358
3,0.09865061938762665,0.05467863008379936,0.054467398673295975,0.9013493657112122,0.02736608125269413,0.013877162709832191,7.059155905153602e-05,0.972633957862854
4,0.13863393664360046,0.07729849964380264,0.0788281112909317,0.8613659739494324,0.025309791788458824,0.012822633609175682,7.059155905153602e-05,0.9746902585029602
5,0.14789441227912903,0.08455204963684082,0.08753205835819244,0.8521054983139038,0.017628969624638557,0.00889571662992239,3.6423236451810226e-05,0.9823710322380066
6,0.16152475774288177,0.08939505368471146,0.09271539747714996,0.838475227355957,0.024184783920645714,0.012242766097187996,7.054673915263265e-05,0.9758151769638062
0,0.11351730674505234,0.07371064275503159,0.07643835246562958,0.8864827156066895,0.04473460465669632,0.022881649434566498,7.059155905153602e-05,0.9552654027938843
1,0.10615317523479462,0.060140013694763184,0.0615704245865345,0.8938468098640442,0.041577182710170746,0.021233445033431053,7.059155905153602e-05,0.958422839641571
2,0.09025631844997406,0.04782157018780708,0.05318085476756096,0.90974360704422,0.038606442511081696,0.019685912877321243,7.059155905153602e-05,0.9613935351371765
3,0.18569982051849365,0.11103646457195282,0.12467600405216217,0.8143001794815063,0.04150516167283058,0.02120021916925907,7.059155905153602e-05,0.9584948420524597
4,0.30430230498313904,0.2219821959733963,0.2340790331363678,0.6956976652145386,0.03888792544603348,0.01984293945133686,7.059155905153602e-05,0.9611121416091919
5,0.2205529510974884,0.14085569977760315,0.14529375731945038,0.779447078704834,0.025849351659417152,0.013110881671309471,7.059155905153602e-05,0.9741506576538086
6,0.13178573548793793,0.08105596154928207,0.08160486817359924,0.8682142496109009,0.022564450278878212,0.01143132895231247,7.059155905153602e-05,0.9774354696273804
7,0.20248815417289734,0.14547273516654968,0.14739982783794403,0.797511875629425,0.010331078432500362,0.005223265383392572,7.059155905153602e-05,0.9896689653396606
8,0.2489234209060669,0.1725178062915802,0.17579181492328644,0.7510765194892883,0.012350986711680889,0.006245564203709364,7.059155905153602e-05,0.9876490831375122
9,0.40177518129348755,0.29235735535621643,0.29816070199012756,0.5982247591018677,0.015415257774293423,0.007799712009727955,7.059155905153602e-05,0.9845846891403198
10,0.3037400245666504,0.22121576964855194,0.2247818410396576,0.6962599754333496,0.009743203409016132,0.004924241453409195,7.059155905153602e-05,0.9902567863464355
11,0.11079119145870209,0.06646282970905304,0.06935305893421173,0.8892086744308472,0.0076914518140256405,0.003890440333634615,7.059155905153602e-05,0.992308497428894
